epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1768.47,0.53599,0.40167,0.95125,0.85664,0.80937,0.8531,0.6826,0.73191,0.58837,1.08924,0.000660045,0.000660045,0.000660045
43,1814.82,0.5267,0.39534,0.94227,0.83164,0.838,0.85276,0.69821,0.70882,0.58829,1.0724,0.000649046,0.000649046,0.000649046
44,1861.01,0.53083,0.39326,0.94668,0.84649,0.80047,0.83915,0.68342,0.72846,0.60552,1.09818,0.000638047,0.000638047,0.000638047
45,1906.86,0.52219,0.39051,0.94416,0.86394,0.82324,0.85082,0.68899,0.70026,0.58078,1.08656,0.000627048,0.000627048,0.000627048
46,1952.65,0.51025,0.38219,0.94267,0.80576,0.82587,0.83771,0.6795,0.73206,0.62642,1.09988,0.000616049,0.000616049,0.000616049
47,1997.73,0.50737,0.37938,0.93273,0.82101,0.8036,0.82601,0.67063,0.73514,0.61741,1.11195,0.000605051,0.000605051,0.000605051
48,2046.38,0.501,0.37248,0.93057,0.8173,0.8257,0.83539,0.68495,0.71837,0.57652,1.10492,0.000594052,0.000594052,0.000594052
49,2091.79,0.50621,0.36893,0.93263,0.86847,0.76962,0.83461,0.67928,0.70961,0.60357,1.09301,0.000583053,0.000583053,0.000583053
50,2137.16,0.4956,0.36153,0.92299,0.80805,0.82803,0.8391,0.67807,0.71648,0.60286,1.09445,0.000572054,0.000572054,0.000572054
51,2183.35,0.50274,0.3648,0.92928,0.8415,0.81411,0.83825,0.68601,0.70632,0.59221,1.08669,0.000561055,0.000561055,0.000561055
52,2228.58,0.49734,0.3589,0.92774,0.80753,0.79694,0.83469,0.68673,0.71867,0.60841,1.08494,0.000550056,0.000550056,0.000550056
53,2270.48,0.48412,0.34814,0.92167,0.82592,0.82188,0.83789,0.68244,0.71357,0.57919,1.08663,0.000539057,0.000539057,0.000539057
54,2315.88,0.48709,0.35539,0.92652,0.85744,0.79882,0.84092,0.68508,0.71412,0.59295,1.08924,0.000528058,0.000528058,0.000528058
55,2361.37,0.47869,0.34269,0.92019,0.85508,0.80013,0.84122,0.68714,0.69928,0.59531,1.10335,0.000517059,0.000517059,0.000517059
56,2407.19,0.47721,0.343,0.92119,0.8504,0.81384,0.84393,0.68925,0.70733,0.58497,1.09,0.00050606,0.00050606,0.00050606
57,2452.66,0.4743,0.3364,0.92019,0.8293,0.83515,0.84286,0.68324,0.71793,0.60476,1.09685,0.000495062,0.000495062,0.000495062
58,2499.13,0.47188,0.33846,0.91782,0.81281,0.84488,0.83647,0.68357,0.70723,0.59647,1.10096,0.000484063,0.000484063,0.000484063
59,2545.9,0.46313,0.33393,0.91407,0.84049,0.80281,0.82793,0.67153,0.70791,0.61261,1.09954,0.000473064,0.000473064,0.000473064
60,2592.05,0.45878,0.32877,0.91638,0.86907,0.80052,0.8425,0.69083,0.69842,0.60751,1.09971,0.000462065,0.000462065,0.000462065
61,2636.75,0.46002,0.33075,0.91828,0.84918,0.83698,0.842,0.68494,0.71544,0.59783,1.10773,0.000451066,0.000451066,0.000451066
62,2683.01,0.45649,0.332,0.91363,0.86137,0.8189,0.83474,0.68696,0.71298,0.6018,1.10903,0.000440067,0.000440067,0.000440067
63,2728.4,0.45256,0.32709,0.9132,0.85244,0.81481,0.82478,0.67992,0.71429,0.62449,1.09815,0.000429068,0.000429068,0.000429068
64,2774.18,0.45186,0.3259,0.9099,0.83644,0.80778,0.8368,0.68595,0.70586,0.60582,1.0941,0.000418069,0.000418069,0.000418069
65,2820.16,0.44587,0.3163,0.90434,0.81831,0.82857,0.83413,0.68913,0.69766,0.59835,1.09481,0.00040707,0.00040707,0.00040707
66,2865.84,0.44401,0.31092,0.90055,0.86136,0.79829,0.83964,0.68621,0.70572,0.60245,1.09165,0.000396071,0.000396071,0.000396071
67,2911.28,0.4418,0.31205,0.90289,0.86745,0.80025,0.83949,0.69525,0.69993,0.58582,1.08565,0.000385073,0.000385073,0.000385073
68,2957.51,0.43428,0.30636,0.9031,0.87213,0.78182,0.83595,0.68793,0.70066,0.61461,1.09998,0.000374074,0.000374074,0.000374074
69,3002.52,0.42967,0.30636,0.89928,0.81969,0.81204,0.8302,0.68828,0.69324,0.62309,1.082,0.000363075,0.000363075,0.000363075
