                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99005,                 2.5641,                 1.1737,                0.86967,                0.37413,                0.65393,                  0.473,                0.97861,                 2.4064,                 1.1914,             0.00029906,             0.00029906,             0.00029906
                      2,                0.91136,                 1.3923,                 1.0953,                0.79444,                0.65042,                0.72881,                0.52699,                0.93012,                 1.2983,                 1.1313,             0.00059908,             0.00059908,             0.00059908
                      3,                0.92989,                 1.2661,                 1.1086,                 0.7424,                0.68455,                0.72299,                0.52727,                0.94587,                 1.3246,                 1.1221,              0.0008961,              0.0008961,              0.0008961
                      4,                0.91953,                 1.1824,                 1.0987,                0.78978,                0.71376,                0.76787,                0.56822,                0.95674,                 1.0518,                 1.1126,              0.0008955,              0.0008955,              0.0008955
                      5,                 0.8959,                 1.0845,                 1.0838,                0.76224,                0.69935,                0.76778,                 0.5481,                0.99123,                 1.0979,                 1.1728,               0.000891,               0.000891,               0.000891
                      6,                0.88015,                 1.0065,                 1.0753,                0.77594,                 0.7468,                0.78007,                0.58821,                0.90281,                0.92724,                  1.098,              0.0008865,              0.0008865,              0.0008865
                      7,                 0.8765,                0.97593,                   1.07,                 0.7773,                0.75663,                0.78552,                0.59148,                0.87334,                0.92928,                 1.0879,               0.000882,               0.000882,               0.000882
                      8,                0.84043,                0.91798,                 1.0537,                0.83143,                0.74591,                0.81125,                0.61883,                0.89856,                 0.8468,                 1.0901,              0.0008775,              0.0008775,              0.0008775
                      9,                0.83682,                0.87376,                  1.053,                 0.7771,                0.72727,                0.78063,                0.59975,                0.86424,                0.82372,                 1.0691,               0.000873,               0.000873,               0.000873
                     10,                0.83125,                0.83993,                 1.0465,                 0.7753,                0.76196,                0.80358,                0.60317,                0.86168,                 0.8615,                 1.0909,              0.0008685,              0.0008685,              0.0008685
                     11,                0.80217,                0.79566,                 1.0406,                0.75347,                0.79441,                 0.8045,                0.62058,                0.85023,                0.77958,                 1.0544,               0.000864,               0.000864,               0.000864
                     12,                0.78851,                0.77502,                 1.0301,                0.80278,                0.74306,                0.80249,                 0.6209,                0.84658,                0.78146,                 1.0623,              0.0008595,              0.0008595,              0.0008595
                     13,                0.79059,                0.75982,                 1.0251,                0.79138,                0.79201,                0.82748,                0.64338,                0.82603,                0.71392,                 1.0564,             0.00085501,             0.00085501,             0.00085501
                     14,                0.77372,                0.73386,                 1.0213,                 0.7809,                0.80089,                0.81256,                0.62014,                0.83912,                0.71717,                 1.0704,             0.00085051,             0.00085051,             0.00085051
                     15,                 0.7688,                0.71791,                 1.0079,                0.77437,                0.75487,                0.78195,                 0.6015,                0.83401,                0.75496,                 1.0622,             0.00084601,             0.00084601,             0.00084601
                     16,                0.76613,                0.71308,                 1.0134,                0.81914,                0.74831,                0.80614,                0.62736,                0.81668,                0.75938,                 1.0424,             0.00084151,             0.00084151,             0.00084151
                     17,                0.75962,                0.69722,                 1.0137,                0.79509,                 0.7547,                0.79378,                0.62177,                0.82009,                0.75157,                 1.0466,             0.00083701,             0.00083701,             0.00083701
                     18,                0.74241,                0.68347,                 1.0014,                0.77071,                0.79911,                0.80149,                0.63185,                0.80422,                 0.7026,                 1.0361,             0.00083251,             0.00083251,             0.00083251
                     19,                0.74679,                 0.6688,                 1.0052,                0.80583,                0.78733,                0.80561,                0.63634,                0.82035,                0.69048,                 1.0593,             0.00082801,             0.00082801,             0.00082801
                     20,                 0.7365,                0.66477,                 1.0065,                0.80835,                 0.8064,                0.83121,                0.64117,                0.80803,                0.67769,                 1.0529,             0.00082351,             0.00082351,             0.00082351
                     21,                0.73159,                0.64992,                 1.0002,                0.76934,                0.79719,                0.81012,                0.62006,                0.85679,                0.69674,                 1.0637,             0.00081901,             0.00081901,             0.00081901
                     22,                 0.7381,                0.66706,                 1.0007,                0.81401,                0.75899,                  0.812,                0.63159,                0.82574,                0.73346,                  1.043,             0.00081451,             0.00081451,             0.00081451
                     23,                0.71834,                0.63504,                 1.0013,                 0.8318,                0.78617,                0.82672,                0.65066,                0.81654,                0.68727,                 1.0448,             0.00081001,             0.00081001,             0.00081001
                     24,                0.71108,                0.62994,                0.99313,                0.80443,                0.81289,                0.82975,                0.65851,                0.79949,                0.64386,                 1.0484,             0.00080551,             0.00080551,             0.00080551
                     25,                  0.708,                 0.6128,                0.98388,                0.79583,                0.77416,                0.80949,                0.63241,                0.80877,                0.69334,                 1.0533,             0.00080101,             0.00080101,             0.00080101
                     26,                0.71099,                0.60935,                0.99262,                0.80231,                 0.8221,                0.84251,                0.65367,                0.80818,                0.66384,                 1.0458,             0.00079651,             0.00079651,             0.00079651
                     27,                0.70117,                0.60285,                0.98612,                0.83641,                0.75434,                0.81368,                0.64658,                0.83166,                0.70003,                 1.0671,             0.00079201,             0.00079201,             0.00079201
                     28,                0.71514,                0.61867,                0.98534,                0.78885,                0.78788,                0.82274,                0.64101,                0.81188,                0.67941,                 1.0396,             0.00078751,             0.00078751,             0.00078751
                     29,                0.69579,                0.59012,                0.97925,                0.78593,                0.80201,                0.80412,                0.62505,                0.82451,                0.70329,                 1.0541,             0.00078301,             0.00078301,             0.00078301
                     30,                0.68465,                0.58696,                0.97916,                0.84431,                0.78122,                0.81899,                0.65174,                0.80255,                0.67821,                  1.048,             0.00077851,             0.00077851,             0.00077851
                     31,                0.68563,                0.57216,                0.97411,                0.82535,                 0.7756,                0.82272,                 0.6536,                0.78867,                0.67193,                 1.0431,             0.00077401,             0.00077401,             0.00077401
                     32,                0.67614,                0.57332,                0.98215,                0.80523,                0.80171,                0.81292,                0.63953,                0.80605,                0.67229,                 1.0497,             0.00076951,             0.00076951,             0.00076951
                     33,                0.68493,                0.57721,                0.96736,                0.81743,                 0.8005,                0.82507,                0.64997,                0.80279,                0.69062,                 1.0596,             0.00076501,             0.00076501,             0.00076501
                     34,                0.68168,                0.57246,                0.97714,                0.76961,                0.79573,                0.80796,                0.63758,                0.79565,                0.66916,                 1.0385,             0.00076051,             0.00076051,             0.00076051
                     35,                0.67196,                0.55508,                0.96953,                0.78588,                0.81486,                0.82744,                0.65956,                0.78865,                0.65739,                 1.0248,             0.00075602,             0.00075602,             0.00075602
                     36,                0.66792,                0.55583,                0.97277,                0.80446,                 0.7837,                0.81505,                0.64512,                  0.779,                0.66923,                 1.0288,             0.00075152,             0.00075152,             0.00075152
                     37,                 0.6778,                0.56338,                0.97456,                0.80751,                0.80893,                0.81688,                 0.6462,                0.78875,                0.64779,                 1.0438,             0.00074702,             0.00074702,             0.00074702
                     38,                0.65948,                0.54827,                0.97036,                0.81543,                0.81433,                0.82313,                0.64584,                0.80069,                0.65443,                 1.0471,             0.00074252,             0.00074252,             0.00074252
                     39,                0.65773,                0.54417,                0.96043,                0.81828,                0.81979,                0.83287,                0.64459,                0.80205,                0.64531,                 1.0561,             0.00073802,             0.00073802,             0.00073802
                     40,                0.64965,                0.52691,                0.95643,                0.83826,                0.79431,                0.82975,                0.64938,                0.77697,                 0.6544,                 1.0313,             0.00073352,             0.00073352,             0.00073352
