                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98381,                 2.3676,                 1.1699,                0.97022,                0.21653,                0.64227,                0.45338,                0.99753,                 2.6661,                  1.183,             0.00036552,             0.00036552,             0.00036552
                      2,                0.93235,                 1.3992,                  1.109,                0.72083,                0.62312,                0.69995,                0.50472,                0.98751,                 1.3844,                 1.1733,             0.00073221,             0.00073221,             0.00073221
                      3,                0.95071,                 1.2758,                 1.1233,                0.73826,                0.63048,                0.69432,                0.50919,                0.98285,                   1.35,                 1.1874,              0.0010952,              0.0010952,              0.0010952
                      4,                0.93942,                 1.1872,                 1.1095,                0.73232,                0.63973,                0.68844,                0.48575,                0.99992,                  1.183,                 1.1731,              0.0010945,              0.0010945,              0.0010945
                      5,                0.93153,                  1.085,                 1.1072,                 0.8049,                0.69076,                0.76145,                0.57057,                0.95858,                 1.1554,                 1.1577,               0.001089,               0.001089,               0.001089
                      6,                0.91185,                 1.0014,                 1.0955,                 0.7836,                0.73367,                0.77215,                0.58307,                0.90584,                0.92153,                 1.1152,              0.0010835,              0.0010835,              0.0010835
                      7,                0.90119,                0.96939,                 1.0842,                0.74826,                0.72619,                0.76953,                0.57058,                0.93173,                0.91467,                 1.1151,               0.001078,               0.001078,               0.001078
                      8,                0.86374,                0.90614,                 1.0681,                0.77124,                0.74341,                0.77029,                0.57676,                0.89142,                 0.8812,                 1.0967,              0.0010725,              0.0010725,              0.0010725
                      9,                0.86708,                0.87726,                  1.064,                0.81345,                0.75016,                0.81439,                0.61228,                 0.8947,                0.80892,                 1.1071,               0.001067,               0.001067,               0.001067
                     10,                0.84642,                  0.845,                 1.0545,                0.76339,                0.78399,                0.79195,                0.60316,                0.84702,                0.90698,                 1.0698,              0.0010615,              0.0010615,              0.0010615
                     11,                0.83359,                0.79214,                 1.0513,                 0.8139,                0.76515,                0.81416,                0.61827,                0.87715,                0.77029,                 1.0763,               0.001056,               0.001056,               0.001056
                     12,                0.82046,                0.78761,                 1.0466,                0.83347,                0.77995,                0.80965,                0.61704,                0.86266,                0.75767,                 1.0664,              0.0010505,              0.0010505,              0.0010505
                     13,                0.81037,                0.77754,                 1.0356,                0.81825,                0.75622,                0.81736,                0.62938,                0.83496,                0.75149,                 1.0647,               0.001045,               0.001045,               0.001045
                     14,                 0.7956,                0.74348,                 1.0323,                0.76701,                0.79363,                  0.813,                0.62065,                0.86693,                0.75806,                 1.0909,              0.0010395,              0.0010395,              0.0010395
                     15,                0.77633,                0.72585,                 1.0136,                0.82774,                 0.7683,                0.80914,                0.62144,                0.82483,                0.71154,                 1.0558,               0.001034,               0.001034,               0.001034
                     16,                0.78938,                0.71961,                 1.0263,                0.76641,                0.79708,                0.80706,                0.61778,                 0.8479,                0.76912,                 1.0661,              0.0010285,              0.0010285,              0.0010285
                     17,                 0.7825,                0.71668,                 1.0283,                0.79035,                0.80257,                0.81424,                0.63689,                0.81955,                0.71482,                 1.0531,               0.001023,               0.001023,               0.001023
                     18,                0.76838,                0.68716,                 1.0166,                0.76011,                0.76596,                 0.7832,                0.61169,                0.84057,                0.79941,                 1.0754,              0.0010175,              0.0010175,              0.0010175
                     19,                 0.7614,                0.68212,                 1.0153,                 0.8044,                0.77509,                0.81032,                0.63004,                0.82621,                0.73146,                 1.0585,               0.001012,               0.001012,               0.001012
                     20,                0.75168,                0.67364,                 1.0158,                0.81128,                0.80322,                0.81926,                0.64915,                0.79607,                 0.6841,                 1.0429,              0.0010065,              0.0010065,              0.0010065
                     21,                0.74235,                0.66277,                 1.0067,                 0.8379,                0.78136,                 0.8311,                0.63576,                0.81689,                0.67105,                 1.0464,               0.001001,               0.001001,               0.001001
                     22,                0.75056,                0.66352,                 1.0057,                 0.8462,                 0.7631,                0.82188,                 0.6426,                0.83755,                0.68987,                 1.0677,             0.00099551,             0.00099551,             0.00099551
                     23,                0.74562,                0.64978,                 1.0147,                 0.8282,                0.77046,                0.82831,                0.64465,                0.80205,                0.67324,                  1.045,             0.00099001,             0.00099001,             0.00099001
                     24,                0.73575,                0.64978,                 1.0049,                 0.7954,                 0.7865,                0.81477,                0.63406,                0.82233,                0.67016,                 1.0555,             0.00098451,             0.00098451,             0.00098451
                     25,                0.72512,                0.63478,                0.99151,                0.83781,                0.76029,                0.82275,                0.64269,                0.81816,                0.70657,                 1.0516,             0.00097901,             0.00097901,             0.00097901
                     26,                0.73056,                0.62343,                 1.0018,                0.78687,                0.78512,                 0.8233,                0.63342,                0.82409,                 0.6729,                 1.0606,             0.00097351,             0.00097351,             0.00097351
                     27,                0.71499,                0.60722,                0.99418,                0.87771,                0.77413,                0.83857,                 0.6571,                0.79957,                0.65416,                 1.0483,             0.00096801,             0.00096801,             0.00096801
                     28,                0.72761,                0.62119,                0.99202,                0.81337,                0.74372,                0.82504,                0.64881,                0.79128,                0.68708,                 1.0411,             0.00096251,             0.00096251,             0.00096251
                     29,                0.71313,                  0.608,                 0.9896,                0.78207,                0.79921,                0.80347,                0.62847,                0.81104,                 0.6621,                 1.0558,             0.00095702,             0.00095702,             0.00095702
                     30,                 0.6985,                0.59649,                0.98594,                0.78493,                0.81701,                0.82967,                0.65309,                0.80316,                0.64257,                 1.0434,             0.00095152,             0.00095152,             0.00095152
                     31,                0.70135,                0.56858,                 0.9794,                0.84985,                0.77716,                0.82789,                0.65439,                0.80773,                0.65106,                 1.0603,             0.00094602,             0.00094602,             0.00094602
                     32,                0.70157,                0.58775,                 0.9932,                0.83987,                0.78264,                0.82118,                0.64718,                0.82535,                0.67999,                 1.0489,             0.00094052,             0.00094052,             0.00094052
                     33,                0.69613,                 0.5832,                0.97239,                0.78395,                0.78945,                 0.8305,                0.65619,                0.79446,                0.67505,                 1.0569,             0.00093502,             0.00093502,             0.00093502
